ONT_Id,B_Max_bits,B_alloc_bits
15,1199488.0,21344
0,1199488.0,38512
1,1199488.0,10928
2,1199488.0,38192
3,1199488.0,80160
4,1199488.0,72176
5,1199488.0,57120
6,1199488.0,48112
7,1199488.0,61856
8,1199488.0,60352
9,1199488.0,37792
10,1199488.0,56752
11,1199488.0,63600
12,1199488.0,50000
13,1199488.0,56400
14,1199488.0,27024
15,1199488.0,72336
0,1199488.0,58560
1,1199488.0,41456
2,1199488.0,13776
3,1199488.0,16096
4,1199488.0,47760
5,1199488.0,42752
6,1199488.0,35552
7,1199488.0,44192
8,1199488.0,25584
9,1199488.0,57120
10,1199488.0,64880
11,1199488.0,54624
12,1199488.0,42752
13,1199488.0,25584
14,1199488.0,32704
15,1199488.0,34272
0,1199488.0,44192
1,1199488.0,11296
2,1199488.0,38192
3,1199488.0,70240
4,1199488.0,84384
5,1199488.0,70048
6,1199488.0,35904
7,1199488.0,67888
8,1199488.0,78240
9,1199488.0,37792
10,1199488.0,42752
11,1199488.0,55408
12,1199488.0,67888
13,1199488.0,56400
14,1199488.0,32704
15,1199488.0,68736
0,1199488.0,58912
1,1199488.0,42176
2,1199488.0,13776
3,1199488.0,40512
4,1199488.0,55008
5,1199488.0,25584
6,1199488.0,23696
7,1199488.0,69328
8,1199488.0,13024
9,1199488.0,70048
10,1199488.0,55680
11,1199488.0,56064
12,1199488.0,49280
13,1199488.0,30544
14,1199488.0,33424
15,1199488.0,35712
0,1199488.0,41680
1,1199488.0,12016
2,1199488.0,50400
3,1199488.0,64928
4,1199488.0,67216
5,1199488.0,75360
6,1199488.0,53072
7,1199488.0,42752
8,1199488.0,72560
9,1199488.0,37072
10,1199488.0,65600
11,1199488.0,44992
12,1199488.0,64000
13,1199488.0,57472
14,1199488.0,33776
15,1199488.0,57968
0,1199488.0,47424
1,1199488.0,42896
2,1199488.0,13424
3,1199488.0,33264
4,1199488.0,47760
5,1199488.0,30544
6,1199488.0,30592
7,1199488.0,99056
8,1199488.0,19056
9,1199488.0,71120
10,1199488.0,66320
11,1199488.0,54992
12,1199488.0,54960
13,1199488.0,31264
14,1199488.0,34144
15,1199488.0,36784
0,1199488.0,25584
1,1199488.0,13088
2,1199488.0,38544
3,1199488.0,59968
4,1199488.0,55008
5,1199488.0,71120
6,1199488.0,42800
7,1199488.0,46992
8,1199488.0,71840
9,1199488.0,42400
10,1199488.0,56752
11,1199488.0,50672
12,1199488.0,69328
13,1199488.0,58192
14,1199488.0,43696
15,1199488.0,57968
0,1199488.0,60352
1,1199488.0,42896
2,1199488.0,25280
3,1199488.0,33264
4,1199488.0,67216
5,1199488.0,26304
6,1199488.0,30592
7,1199488.0,90864
8,1199488.0,19776
9,1199488.0,61488
10,1199488.0,62080
11,1199488.0,54992
12,1199488.0,51072
13,1199488.0,32336
14,1199488.0,40176
15,1199488.0,36784
0,1199488.0,18336
1,1199488.0,13808
2,1199488.0,25632
3,1199488.0,57680
4,1199488.0,59968
5,1199488.0,76800
6,1199488.0,59616
7,1199488.0,47712
8,1199488.0,72912
9,1199488.0,50720
10,1199488.0,78528
11,1199488.0,46432
12,1199488.0,82256
13,1199488.0,71120
14,1199488.0,51984
15,1199488.0,70896
0,1199488.0,48864
1,1199488.0,43248
2,1199488.0,13424
3,1199488.0,33616
4,1199488.0,47760
5,1199488.0,44192
6,1199488.0,35552
7,1199488.0,96544
8,1199488.0,19776
9,1199488.0,53888
10,1199488.0,66096
11,1199488.0,56064
12,1199488.0,62208
13,1199488.0,32704
14,1199488.0,53776
15,1199488.0,32112
0,1199488.0,14096
1,1199488.0,38944
2,1199488.0,13776
3,1199488.0,57680
4,1199488.0,67216
5,1199488.0,73696
6,1199488.0,42800
7,1199488.0,48432
8,1199488.0,72560
9,1199488.0,56400
10,1199488.0,66448
11,1199488.0,49232
12,1199488.0,59920
13,1199488.0,76800
14,1199488.0,46656
15,1199488.0,71968
0,1199488.0,54176
1,1199488.0,8416
2,1199488.0,13424
3,1199488.0,40864
4,1199488.0,55008
5,1199488.0,41680
6,1199488.0,35552
7,1199488.0,85408
8,1199488.0,33056
9,1199488.0,37792
10,1199488.0,64880
11,1199488.0,73280
12,1199488.0,77808
13,1199488.0,33424
14,1199488.0,65632
15,1199488.0,69104
0,1199488.0,32336
1,1199488.0,38576
2,1199488.0,14128
3,1199488.0,42800
4,1199488.0,84384
5,1199488.0,62208
6,1199488.0,35552
7,1199488.0,54112
8,1199488.0,54240
9,1199488.0,27744
10,1199488.0,71776
11,1199488.0,24864
12,1199488.0,72848
13,1199488.0,85488
14,1199488.0,41984
15,1199488.0,32112
0,1199488.0,37792
1,1199488.0,8416
2,1199488.0,1216
3,1199488.0,40864
4,1199488.0,54656
5,1199488.0,20624
6,1199488.0,48112
7,1199488.0,97984
8,1199488.0,45984
9,1199488.0,32704
10,1199488.0,54240
11,1199488.0,77520
12,1199488.0,77808
13,1199488.0,42752
14,1199488.0,42704
15,1199488.0,70176
0,1199488.0,44912
1,1199488.0,39296
2,1199488.0,13776
3,1199488.0,35552
4,1199488.0,79424
5,1199488.0,57968
6,1199488.0,35200
7,1199488.0,46640
8,1199488.0,49280
9,1199488.0,33776
10,1199488.0,77808
11,1199488.0,37072
12,1199488.0,72848
13,1199488.0,61136
14,1199488.0,43424
15,1199488.0,20272
0,1199488.0,25232
1,1199488.0,9488
2,1199488.0,1568
3,1199488.0,48112
4,1199488.0,59968
5,1199488.0,22064
6,1199488.0,48112
7,1199488.0,98704
8,1199488.0,63872
9,1199488.0,33424
10,1199488.0,52672
11,1199488.0,61136
12,1199488.0,78880
13,1199488.0,38512
14,1199488.0,43424
15,1199488.0,58688
0,1199488.0,44912
1,1199488.0,40384
2,1199488.0,13776
3,1199488.0,30240
4,1199488.0,72176
5,1199488.0,57968
6,1199488.0,30592
7,1199488.0,47712
8,1199488.0,42752
9,1199488.0,51664
