ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,0.0009404217346106313,0.0009404165531587117,0.000940426916062551
1,0,0.0009334175056079833,0.0009334116533714255,0.0009334233578445411
2,0,0.0010034945485031753,0.0010034888130865775,0.0010035002839197732
3,0,0.0011765309670259158,0.0011765229374812141,0.0011765389965706175
4,0,0.0009590186487641536,0.0009590130630678959,0.0009590242344604112
5,0,0.0010336481332641327,0.0010336418124024264,0.0010336544541258389
6,0,0.001088545977155563,0.0010885396544799177,0.0010885522998312085
7,0,0.0009657397328005996,0.0009657340968385989,0.0009657453687626003
8,0,0.0009702085153603421,0.0009702023160234254,0.0009702147146972589
9,0,0.0009178205777157081,0.0009178154461624285,0.0009178257092689878
10,0,0.0009522079674246279,0.0009522025374712839,0.0009522133973779718
11,0,0.0009142093657913513,0.0009142038376909621,0.0009142148938917406
12,0,0.0008777250878824753,0.0008777204543226061,0.0008777297214423444
13,0,0.0009391997535942335,0.0009391942913761814,0.0009392052158122856
14,0,0.0009673779403342411,0.0009673719688821517,0.0009673839117863305
15,0,0.0010253159051732334,0.0010253103266837486,0.0010253214836627182
