ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,0.0009606854064413849,0.0009606771336190175,0.0009606936792637522
1,0,0.0009872777118553745,0.0009872705491569486,0.0009872848745538004
2,0,0.0008873308613133004,0.0008873249002576668,0.000887336822368934
3,0,0.0009187094881925587,0.0009187039367353569,0.0009187150396497605
4,0,0.000999714155012356,0.000999707211781114,0.0009997210982435982
5,0,0.0009868653045704925,0.0009868588637178637,0.0009868717454231213
6,0,0.0010025527145138729,0.0010025462437217312,0.0010025591853060145
7,0,0.0010318378451799313,0.0010318301616447506,0.001031845528715112
8,0,0.0009999361297078867,0.000999929113191835,0.0009999431462239384
9,0,0.0009493796373697787,0.0009493733640962543,0.000949385910643303
10,0,0.0009855775805887258,0.0009855705572364966,0.000985584603940955
11,0,0.0009910787019287181,0.0009910719376800454,0.0009910854661773908
12,0,0.0010765644910363029,0.0010765565235132796,0.0010765724585593262
13,0,0.0008903474336286869,0.0008903417321927285,0.0008903531350646452
14,0,0.0010240083526466951,0.0010240013251020955,0.0010240153801912948
15,0,0.001064935386670681,0.001064929330925563,0.0010649414424157991
