ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,0.0004236840774774852,0.0004236784302462985,0.00042368972470867197
0,1,0.0006698124975663858,0.0006697414046228203,0.0006698835905099512
0,2,0.0019835407085636125,0.001983370148197495,0.00198371126892973
1,0,0.00041580970559019044,0.0004158040671235135,0.0004158153440568674
1,1,0.0007114259830212182,0.0007113652104915125,0.0007114867555509238
1,2,0.002079909580524142,0.0020797251897615894,0.002080093971286694
2,0,0.00048104846967522296,0.00048104186714375484,0.0004810550722066911
2,1,0.0007124352018954632,0.0007123220848805608,0.0007125483189103656
2,2,0.0020716675249970312,0.0020713816608568993,0.002071953389137163
3,0,0.00042378622406036434,0.00042378062530676287,0.0004237918228139658
3,1,0.0007088400595465389,0.0007087796308536038,0.000708900488239474
3,2,0.002274322376031976,0.0022739653199138486,0.0022746794321501034
4,0,0.0004691544473159014,0.00046914785951609176,0.000469161035115711
4,1,0.000757697829317921,0.0007576174078106171,0.0007577782508252248
4,2,0.0024181589484164085,0.002417929203697793,0.002418388693135024
5,0,0.0004928950519546792,0.0004928877282037165,0.0004929023757056419
5,1,0.0007309023945059256,0.0007308028874262268,0.0007310019015856244
5,2,0.0021085389810505937,0.0021083890775875015,0.002108688884513686
6,0,0.0004396700051157992,0.000439664007690454,0.0004396760025411444
6,1,0.0007328530804123908,0.0007327748070939241,0.0007329313537308576
6,2,0.002555147099651775,0.0025547926288087388,0.002555501570494811
7,0,0.0004579048759981946,0.0004578982278065461,0.0004579115241898431
7,1,0.0006928812950390931,0.0006927729530166448,0.0006929896370615414
7,2,0.0020616069555678346,0.002061484666879846,0.002061729244255823
8,0,0.0004440670440899873,0.0004440612763198481,0.00044407281186012643
8,1,0.0007103363578520854,0.0007102252266018794,0.0007104474891022914
8,2,0.002139582217041098,0.0021392905435254368,0.002139873890556759
9,0,0.00044117835860218134,0.0004411724152301092,0.0004411843019742535
9,1,0.0007753034729367075,0.0007751913246141611,0.0007754156212592538
9,2,0.0020402973283456735,0.0020400719141524227,0.0020405227425389244
10,0,0.0004773620737539311,0.00047735527970405435,0.0004773688678038078
10,1,0.0006974287609752526,0.0006973238713746803,0.0006975336505758248
10,2,0.0022381267951404418,0.0022378939678639625,0.002238359622416921
11,0,0.0004465091778728038,0.0004465023347644093,0.0004465160209811983
11,1,0.00070602608178447,0.0007059784255668756,0.0007060737380020645
11,2,0.0021063383072375762,0.0021061828833418748,0.0021064937311332777
12,0,0.0004755875273537988,0.0004755801375015879,0.0004755949172060097
12,1,0.0007190815356666604,0.0007189674027889168,0.000719195668544404
12,2,0.0019004144655791711,0.001900364799774118,0.0019004641313842244
13,0,0.00044307177333748515,0.00044306568125869266,0.00044307786541627765
13,1,0.0006949822941101375,0.0006949085641795977,0.0006950560240406773
13,2,0.0021542532199899066,0.0021540881810275924,0.0021544182589522207
14,0,0.00044656651373599723,0.00044656032043073726,0.0004465727070412572
14,1,0.0006827462913878375,0.0006826832014244057,0.0006828093813512693
14,2,0.002977233934278468,0.0029768685174533863,0.00297759935110355
15,0,0.00044748297313306563,0.00044747672796127555,0.0004474892183048557
15,1,0.0007164531242406248,0.0007163728643935637,0.0007165333840876858
15,2,0.0024608221599592963,0.0024605585403078855,0.002461085779610707
