ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,0.09357448466269223,0.09357372910126784,0.09357524022411663
1,0,0.11677310318110709,0.11677225286410547,0.1167739534981087
2,0,0.09477365290038521,0.09477287569496746,0.09477443010580296
3,0,0.12256143795912268,0.12256049608605991,0.12256237983218544
4,0,0.10149953726102642,0.1014988448591921,0.10150022966286075
5,0,0.08430808263368084,0.0843074167324356,0.08430874853492608
6,0,0.11611988723484809,0.11611897741711315,0.11612079705258303
7,0,0.06733778938960121,0.06733707888130858,0.06733849989789384
8,0,0.10963009511507144,0.10962919511239294,0.10963099511774993
9,0,0.10573767429823866,0.10573690609414763,0.1057384425023297
10,0,0.10507522799464035,0.10507428680299008,0.10507616918629062
11,0,0.09532643105429743,0.09532574932702832,0.09532711278156654
12,0,0.1023416474119466,0.1023406507637918,0.10234264406010139
13,0,0.09864137042507473,0.09864051314448824,0.09864222770566122
14,0,0.08589434851101008,0.08589359660234551,0.08589510041967464
15,0,0.10406946182715539,0.10406860849402319,0.10407031516028759
