ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,0.21028376524023606,0.2102827911663762,0.21028473931409594
1,0,0.018265042119403403,0.018264867978416467,0.01826521626039034
2,0,0.033381195735012775,0.03338082575426872,0.03338156571575683
3,0,0.04253947257541133,0.04253899831942889,0.042539946831393775
4,0,0.13813910137855342,0.13813737404629928,0.13814082871080757
5,0,0.028863059146309072,0.02886269062354691,0.028863427669071236
6,0,0.07566914918300859,0.07566850898409215,0.07566978938192502
7,0,0.12907132907076957,0.1290704732089895,0.12907218493254963
8,0,0.18542062399477313,0.18541871193716508,0.18542253605238118
9,0,0.27612643130370557,0.2761238087413128,0.2761290538660983
10,0,0.064078473104502,0.06407781504787825,0.06407913116112575
11,0,0.15296488165820424,0.1529640674537833,0.15296569586262518
12,0,0.22591587472739794,0.22591382781705338,0.2259179216377425
13,0,0.1533190709621505,0.1533180276415032,0.1533201142827978
14,0,0.005515658971268303,0.005515605564860826,0.00551571237767578
15,0,0.041557234746419904,0.04155694183624453,0.041557527656595275
