ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,0.0022873878504780566,0.0022873829904440737,0.0022873927105120395
1,0,0.0022896966986202384,0.0022896915960393086,0.0022897018012011682
2,0,0.07114751153818764,0.07114699329447821,0.07114802978189708
3,0,0.07390681885066275,0.07390632440338517,0.07390731329794033
4,0,0.07457751921415398,0.07457700689232186,0.0745780315359861
5,0,0.09148177576438932,0.09148103219026525,0.09148251933851338
6,0,0.055644276681158546,0.05564399664617609,0.055644556716141
7,0,0.06418321855924479,0.06418279863821738,0.0641836384802722
8,0,0.08405530258706045,0.084054674846063,0.08405593032805792
9,0,0.06858591882214574,0.06858533059680268,0.0685865070474888
10,0,0.06987927628834599,0.06987877130065487,0.06987978127603711
11,0,0.05885762235424557,0.058857202953855776,0.05885804175463536
12,0,0.24175018739606843,0.2417468276437979,0.24175354714833897
13,0,0.23394210523577605,0.23393930705845842,0.23394490341309368
14,0,0.25578174845643536,0.25577879057729414,0.2557847063355766
15,0,0.2479376655497562,0.2479345778966597,0.24794075320285267
