ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,0.0017472812026857432,0.0017467551362709299,0.0017478072691005566
1,0,0.0018022227928507439,0.0018016862111541268,0.001802759374547361
2,0,0.00230254083957665,0.0023014459238545676,0.0023036357552987325
3,0,0.0021722478631231758,0.002171174982093556,0.0021733207441527957
4,0,0.0019736333378780014,0.0019726312448351845,0.0019746354309208183
5,0,0.002016011335743757,0.0020149635911627657,0.002017059080324748
6,0,0.0026273049107957717,0.00262449766795677,0.0026301121536347733
7,0,0.0026569475893674717,0.002654135168276013,0.0026597600104589303
8,0,0.0026776517385986957,0.0026747779439909897,0.0026805255332064018
9,0,0.0027008108408324944,0.0026979389818426285,0.0027036826998223604
10,0,0.002696042417954787,0.002693332533603891,0.002698752302305683
11,0,0.0027292248006590687,0.0027264936212735634,0.002731955980044574
12,0,0.0027827677044940974,0.0027800115907094763,0.0027855238182787185
13,0,0.002841463398057004,0.0028386966048381318,0.002844230191275876
14,0,0.0028764888088422475,0.0028736495646396153,0.0028793280530448797
15,0,0.0029338070101213387,0.002930953880892919,0.0029366601393497585
